==============================================================================================================
PHYSICS-OS FORENSIC LOC SWEEP v2 — AUTHORED CODE ONLY
Root: /home/brad/TiganticLabz/FRONT_VAULT/03_SOURCE/Main_Projects/physics-os
==============================================================================================================

Excluded vendored dirs: clawdbot-main, openzeppelin-contracts, vendor, worldcoin-id, zk_targets
Excluded data extensions: .7z, .avi, .bin, .bz2, .class, .csv, .dat, .db, .dll, .docx... (+45 more)

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
SECTION 1: AUTHORED CODE — LANGUAGE BREAKDOWN
──────────────────────────────────────────────────────────────────────────────────────────────────────────────
Language               Files  Total Lines      Blank       Code    Size MB       %
──────────────────── ─────── ──────────── ────────── ────────── ────────── ───────
Python                 1,906      850,553    166,713    683,840      27.94   56.4%
Markdown                 529      239,838     68,125    171,713       8.05   15.9%
Rust                     313      132,120     18,134    113,986       4.67    8.8%
HTML                      76       98,624     10,386     88,238       4.27    6.5%
Text                      40       65,279     14,670     50,609       5.41    4.3%
Solidity                  89       34,223      4,110     30,113       1.25    2.3%
JavaScript               180       26,986      1,501     25,485       6.06    1.8%
YAML                     229       25,789      4,540     21,249       0.73    1.7%
Lean 4                    44        8,022      1,708      6,314       0.36    0.5%
TypeScript               106        7,409        894      6,515       0.24    0.5%
CSS                       31        5,013        608      4,405       0.29    0.3%
Shell                     27        4,412        623      3,789       0.17    0.3%
WGSL Shader               18        4,265        800      3,465       0.16    0.3%
CUDA                      11        3,721        568      3,153       0.12    0.2%
TOML                      40        2,244        367      1,877       0.07    0.1%
Docker                     5          418         95        323       0.01    0.0%
Circom                     2          118         17        101       0.00    0.0%
GLSL Shader                1           59          9         50       0.00    0.0%
Config                     1           50          7         43       0.00    0.0%
──────────────────── ─────── ──────────── ────────── ────────── ────────── ───────
TOTAL                  3,648    1,509,143    293,875  1,215,268      59.77    100%

──────────────────────────────────────────────────────────────────────────────────────────────────────────────
SECTION 2: AUTHORED CODE — DIRECTORY BREAKDOWN
──────────────────────────────────────────────────────────────────────────────────────────────────────────────
Directory                          Files  Total Lines       Code  Size MB         Primary
──────────────────────────────── ─────── ──────────── ────────── ──────── ───────────────
ontic                          1,082      471,534    378,655    15.05          Python
docs                                 404      282,134    215,589     9.71        Markdown
scripts                              176       91,348     74,215     3.33          Python
products                             148       60,454     51,057     2.12          Python
data                                   7       59,890     49,179     4.18            Text
fluidelite-zk                        142       52,269     44,402     1.95            Rust
tests                                 91       43,621     33,778     1.44          Python
apps                                 103       40,053     34,615     1.40            Rust
fluidelite                            92       39,210     27,867     2.25          Python
FRONTIER                              64       30,801     24,494     0.99          Python
etherfi_oracle_frontrun_poc           62       28,426     25,190     1.00        Solidity
QTeneT                                91       23,841     19,893     1.00          Python
sovereign-ui                         146       23,456     22,056     1.82      JavaScript
demos                                 48       22,751     18,263     0.78          Python
lUX                                  153       21,805     18,490     4.98            YAML
fluidelite-circuits                   43       21,393     18,355     0.77            Rust
yangmills                             45       18,854     14,614     0.61          Python
proofs                                47       18,806     14,693     0.57          Python
oracle                                27       12,993     10,416     0.44          Python
crates                                50       12,558     10,675     0.43            Rust
_root                                 25       11,520      9,032     0.62        Markdown
sdk                                   40       10,378      8,489     0.34          Python
ledger                               174        8,620      7,061     0.20            YAML
fluidelite-infra                      18        8,588      7,243     0.28            Rust
The_Compressor                        23        8,359      6,697     0.27          Python
Physics                               10        7,755      5,903     0.24          Python
proof_engine                          15        6,420      5,165     0.20          Python
deployment                            33        6,089      5,326     0.22            YAML
experiments                            4        4,864      4,122     0.18          Python
benchmarks                            16        3,829      3,065     0.11          Python
fluidelite-core                       10        3,580      3,072     0.12            Rust
tornado-circuits                      31        3,504      3,061     0.13      JavaScript
QTT-CEM                               12        3,262      2,824     0.11            Rust
glass-cockpit                          5        2,578      2,253     0.09            Rust
tci_llm                               12        2,527      2,001     0.08          Python
.github                               15        2,419      2,051     0.08            YAML
lean_yang_mills                       14        2,366      1,899     0.10          Lean 4
oracle_node                            7        2,342      1,885     0.09          Python
archive                                8        2,296      1,814     0.08          Python
qtt_3d_ops                             7        2,152      1,716     0.07          Python
ai_scientist                           6        2,080      1,687     0.07          Python
tci_core_rust                          9        1,996      1,679     0.06            Rust
tpc                                    5        1,937      1,639     0.07          Python
QTT-FEA                               10        1,921      1,669     0.06            Rust
paper                                  4        1,878      1,518     0.06          Python
QTT-OPT                               11        1,861      1,630     0.06            Rust
test_contracts                         6        1,843      1,567     0.07        Solidity
sovereign_api                          2        1,494      1,232     0.05          Python
Tenet-TPhy                             3        1,384      1,012     0.06        Markdown
_archived_dense                        4        1,249      1,003     0.04          Python
video                                  3          964        783     0.04          Python
exploit_verification                   4          777        631     0.02          Python
evidence                               3          771        588     0.02        Markdown
integrations                           3          686        537     0.02          Python
worldcoin-circuits                     5          530        415     0.02        Markdown
qmb_conservation_proof                 1          441        334     0.02          Lean 4
artifacts                              2          440        379     0.27            HTML
contracts                              2          436        371     0.02        Solidity
fluid_conservation_proof               1          427        340     0.02          Lean 4
plasma_conservation_proof              1          345        272     0.02          Lean 4
pwa_engine                             4          340        291     0.01          Python
vlasov_conservation_proof              1          321        266     0.02          Lean 4
euler_conservation_proof               1          311        266     0.02          Lean 4
em_conservation_proof                  1          299        230     0.01          Lean 4
thermal_conservation_proof             1          281        232     0.02          Lean 4
solid_state_conservation_proof         1          272        204     0.01          Lean 4
demo                                   1          263        223     0.01          Python
electronic_structure_conservation_proof       1          256        194     0.01          Lean 4
nuclear_particle_conservation_proof       1          233        177     0.01          Lean 4
CFD_HVAC                               1          220        155     0.01        Markdown
quantum_mechanics_conservation_proof       1          210        161     0.01          Lean 4
media                                 13          177        177     0.03            Text
statmech_conservation_proof            1          176        140     0.01          Lean 4
quantum_info_conservation_proof        1          147        112     0.01          Lean 4
yang_mills_proof                       2          143        107     0.01          Lean 4
chem_physics_iter_conservation_proof       1          142        108     0.01          Lean 4
mechanics_conservation_proof           1          128         98     0.01          Lean 4
verified_yang_mills_proof              2          127         91     0.00          Lean 4
